title,year,director,producer,writer,genre,budget,revenue,release_month,roi,success,director_avg_roi,director_hit_rate,producer_rev_mult,producer_hit_rate,writer_quality,writer_hit_rate,genre_rev_mult,genre_base_success,month_modifier
Film_0029,2023,Unknown Director,Unknown Producer,Aaron Sorkin,Romance,3995306,1048372,12,-0.738,0,0.8,0.35,1.2,0.38,0.82,0.7,0.7,0.42,1.2
Film_0030,2010,Unknown Director,Mary Parent,Diablo Cody,Horror,18280230,5381635,10,-0.706,0,0.8,0.35,2.8,0.7,0.72,0.58,1.8,0.65,0.8
Film_0031,2017,Ryan Coogler,Megan Ellison,Emerald Fennell,Horror,7622396,4870418,6,-0.361,0,4.0,0.85,1.5,0.55,0.78,0.7,1.8,0.65,1.25
Film_0032,2023,Ryan Coogler,Neal H. Moritz,Tony Kushner,Drama,7693050,10312655,1,0.341,0,4.0,0.85,2.8,0.68,0.78,0.65,0.6,0.4,0.7
Film_0033,2005,Unknown Director,Brad Pitt,Aaron Sorkin,Adventure,8070854,5253336,10,-0.349,0,0.8,0.35,2.0,0.6,0.82,0.7,1.5,0.55,0.8
Film_0034,2007,Unknown Director,Neal H. Moritz,James Gunn,Animation,19884118,8529420,5,-0.571,0,0.8,0.35,2.8,0.68,0.78,0.8,1.6,0.6,1.1
Film_0035,2016,Tim Burton,Emma Thomas,Unknown Writer,Horror,6180586,13850784,5,1.241,1,1.8,0.6,3.5,0.88,0.5,0.35,1.8,0.65,1.1
Film_0036,2014,Jordan Peele,Jordan Peele,Greta Gerwig,Comedy,25632844,212823273,4,7.303,1,5.0,0.9,5.5,0.85,0.8,0.78,0.8,0.5,0.85
Film_0037,2021,Jordan Peele,Jon Landau,Unknown Writer,Animation,72218248,244905933,2,2.391,1,5.0,0.9,5.0,0.9,0.5,0.35,1.6,0.6,0.72
Film_0038,2007,Quentin Tarantino,Kevin Feige,Rian Johnson,Sci-Fi,94496785,249552588,12,1.641,1,2.5,0.8,4.0,0.92,0.78,0.68,1.3,0.5,1.2
Film_0039,2022,Robert Eggers,Unknown Producer,Unknown Writer,Comedy,13329032,11848968,3,-0.111,0,2.0,0.6,1.2,0.38,0.5,0.35,0.8,0.5,0.82
Film_0040,2025,Matt Reeves,Jerry Bruckheimer,Emerald Fennell,Horror,22552350,25615090,10,0.136,0,2.8,0.75,2.5,0.7,0.78,0.7,1.8,0.65,0.8
Film_0041,2007,Unknown Director,Jason Blum,Unknown Writer,Fantasy,58257488,96947438,8,0.664,1,0.8,0.35,8.0,0.85,0.5,0.35,1.4,0.48,1.05
Film_0042,2007,Taika Waititi,Emma Thomas,Ryan Coogler,Animation,228922969,322586131,9,0.409,0,2.8,0.75,3.5,0.88,0.8,0.82,1.6,0.6,0.75
Film_0043,2016,Edgar Wright,Unknown Producer,Unknown Writer,Fantasy,95622182,65497614,3,-0.315,0,1.5,0.65,1.2,0.38,0.5,0.35,1.4,0.48,0.82
Film_0044,2016,Chloe Zhao,Charles Roven,Unknown Writer,Sci-Fi,219809489,91217385,3,-0.585,0,1.2,0.5,2.5,0.65,0.5,0.35,1.3,0.5,0.82
Film_0045,2011,Bong Joon-ho,Scott Rudin,Unknown Writer,Adventure,76422388,233142634,10,2.051,1,3.0,0.75,1.8,0.65,0.5,0.35,1.5,0.55,0.8
Film_0046,2011,David Fincher,Unknown Producer,Damien Chazelle,Action,9910628,7444094,6,-0.249,0,2.0,0.7,1.2,0.38,0.82,0.72,1.5,0.55,1.25
Film_0047,2020,Edgar Wright,Emma Thomas,Charlie Kaufman,Drama,28196607,26785057,8,-0.05,0,1.5,0.65,3.5,0.88,0.75,0.5,0.6,0.4,1.05
Film_0048,2023,Greta Gerwig,Mary Parent,Emerald Fennell,Adventure,50604184,39364192,10,-0.222,0,3.5,0.8,2.8,0.7,0.78,0.7,1.5,0.55,0.8
Film_0049,2005,Unknown Director,Amy Pascal,Unknown Writer,Fantasy,15877268,21306633,7,0.342,0,0.8,0.35,2.8,0.72,0.5,0.35,1.4,0.48,1.3
Film_0050,2017,Emerald Fennell,Kevin Feige,Charlie Kaufman,Adventure,56285497,142841083,12,1.538,1,2.5,0.7,4.0,0.92,0.75,0.5,1.5,0.55,1.2
Film_0051,2018,Jordan Peele,Mary Parent,Taika Waititi,Fantasy,20353868,85780767,1,3.214,1,5.0,0.9,2.8,0.7,0.75,0.7,1.4,0.48,0.7
Film_0052,2025,Martin Scorsese,Jon Landau,Damien Chazelle,Romance,5815533,5522862,12,-0.05,0,1.8,0.65,5.0,0.9,0.82,0.72,0.7,0.42,1.2
Film_0053,2025,Matt Reeves,Emma Thomas,Diablo Cody,Fantasy,118578070,287092257,1,1.421,1,2.8,0.75,3.5,0.88,0.72,0.58,1.4,0.48,0.7
Film_0054,2006,Ridley Scott,Unknown Producer,Rian Johnson,Sci-Fi,11807994,10776936,9,-0.087,0,1.6,0.55,1.2,0.38,0.78,0.68,1.3,0.5,0.75
Film_0055,2021,Damien Chazelle,Charles Roven,Unknown Writer,Sci-Fi,45123623,104314029,10,1.312,1,2.5,0.7,2.5,0.65,0.5,0.35,1.3,0.5,0.8
Film_0056,2009,Christopher Nolan,Unknown Producer,Unknown Writer,Action,56106637,83415035,5,0.487,0,3.8,0.9,1.2,0.38,0.5,0.35,1.5,0.55,1.1
Film_0057,2023,Jordan Peele,Mary Parent,Edgar Wright,Fantasy,20977072,23765451,1,0.133,0,5.0,0.9,2.8,0.7,0.78,0.65,1.4,0.48,0.7
Film_0058,2007,Ryan Coogler,Amy Pascal,Unknown Writer,Adventure,213153023,384115527,2,0.802,1,4.0,0.85,2.8,0.72,0.5,0.35,1.5,0.55,0.72
Film_0059,2025,Jordan Peele,Unknown Producer,Diablo Cody,Animation,189873620,389845345,5,1.053,1,5.0,0.9,1.2,0.38,0.72,0.58,1.6,0.6,1.1
Film_0060,2024,Emerald Fennell,Peter Chernin,Denis Villeneuve,Drama,1744146,5903138,2,2.385,1,2.5,0.7,2.0,0.62,0.8,0.72,0.6,0.4,0.72
Film_0061,2021,Bong Joon-ho,Frank Marshall,Greta Gerwig,Adventure,6704606,8435147,8,0.258,0,3.0,0.75,2.5,0.7,0.8,0.78,1.5,0.55,1.05
Film_0062,2020,Steven Spielberg,Jerry Bruckheimer,Eric Roth,Drama,5311318,8797129,9,0.656,1,3.2,0.85,2.5,0.7,0.75,0.68,0.6,0.4,0.75
Film_0063,2009,Denis Villeneuve,Peter Chernin,Rian Johnson,Drama,4284453,1927401,5,-0.55,0,2.1,0.75,2.0,0.62,0.78,0.68,0.6,0.4,1.1
Film_0064,2018,Unknown Director,Emma Thomas,Edgar Wright,Comedy,5537130,2574658,1,-0.535,0,0.8,0.35,3.5,0.88,0.78,0.65,0.8,0.5,0.7
Film_0065,2008,Unknown Director,Charles Roven,Eric Roth,Action,116508207,156220750,10,0.341,0,0.8,0.35,2.5,0.65,0.75,0.68,1.5,0.55,0.8
Film_0066,2017,David Fincher,Lorenzo di Bonaventura,Edgar Wright,Romance,25750691,15727432,2,-0.389,0,2.0,0.7,2.2,0.6,0.78,0.65,0.7,0.42,0.72
Film_0067,2019,Martin Scorsese,Neal H. Moritz,Charlie Kaufman,Drama,28324906,21373170,3,-0.245,0,1.8,0.65,2.8,0.68,0.75,0.5,0.6,0.4,0.82
Film_0068,2017,Taika Waititi,Scott Rudin,Unknown Writer,Fantasy,400000000,722500944,1,0.806,1,2.8,0.75,1.8,0.65,0.5,0.35,1.4,0.48,0.7
Film_0069,2021,James Cameron,Jason Blum,Christopher Nolan,Romance,1432064,6771323,8,3.728,1,5.5,0.95,8.0,0.85,0.88,0.85,0.7,0.42,1.05
Film_0070,2005,Chloe Zhao,Jerry Bruckheimer,Ryan Coogler,Thriller,21765535,5081191,5,-0.767,0,1.2,0.5,2.5,0.7,0.8,0.82,1.0,0.52,1.1
Film_0071,2010,Sam Raimi,Kathleen Kennedy,Bong Joon-ho,Sci-Fi,82694875,118647440,4,0.435,0,2.5,0.7,3.0,0.75,0.85,0.75,1.3,0.5,0.85
Film_0072,2023,James Wan,David Heyman,Christopher Nolan,Romance,9499582,20779934,10,1.187,1,4.5,0.85,3.2,0.8,0.88,0.85,0.7,0.42,0.8
Film_0073,2018,Greta Gerwig,Kevin Feige,Damien Chazelle,Action,119973709,70590067,10,-0.412,0,3.5,0.8,4.0,0.92,0.82,0.72,1.5,0.55,0.8
Film_0074,2014,Greta Gerwig,Kathleen Kennedy,Unknown Writer,Comedy,262453417,1151088628,8,3.386,1,3.5,0.8,3.0,0.75,0.5,0.35,0.8,0.5,1.05
Film_0075,2013,Ryan Coogler,Kevin Feige,Unknown Writer,Fantasy,25076914,172578618,1,5.882,1,4.0,0.85,4.0,0.92,0.5,0.35,1.4,0.48,0.7
Film_0076,2016,Michael Bay,Megan Ellison,Eric Roth,Fantasy,133176550,115374281,2,-0.134,0,2.2,0.65,1.5,0.55,0.75,0.68,1.4,0.48,0.72
Film_0077,2009,Emerald Fennell,Amy Pascal,Jordan Peele,Drama,38226234,85281920,5,1.231,1,2.5,0.7,2.8,0.72,0.9,0.88,0.6,0.4,1.1
Film_0078,2012,Greta Gerwig,Jordan Peele,Bong Joon-ho,Romance,7074545,3284035,7,-0.536,0,3.5,0.8,5.5,0.85,0.85,0.75,0.7,0.42,1.3
Film_0079,2018,Bong Joon-ho,Kevin Feige,Aaron Sorkin,Animation,3064663,10872726,2,2.548,1,3.0,0.75,4.0,0.92,0.82,0.7,1.6,0.6,0.72
Film_0080,2008,M. Night Shyamalan,Charles Roven,Aaron Sorkin,Horror,38267844,77000591,7,1.012,1,2.8,0.55,2.5,0.65,0.82,0.7,1.8,0.65,1.3
Film_0081,2010,Unknown Director,Jerry Bruckheimer,Tony Kushner,Action,3770464,4995777,6,0.325,0,0.8,0.35,2.5,0.7,0.78,0.65,1.5,0.55,1.25
Film_0082,2017,Chloe Zhao,Amy Pascal,Unknown Writer,Horror,33921321,73010033,12,1.152,1,1.2,0.5,2.8,0.72,0.5,0.35,1.8,0.65,1.2
Film_0083,2010,Greta Gerwig,Emma Thomas,Tony Kushner,Romance,5469497,1999121,6,-0.634,0,3.5,0.8,3.5,0.88,0.78,0.65,0.7,0.42,1.25
Film_0084,2015,Quentin Tarantino,Amy Pascal,Aaron Sorkin,Romance,18164560,33493844,12,0.844,1,2.5,0.8,2.8,0.72,0.82,0.7,0.7,0.42,1.2
Film_0085,2023,Sam Raimi,Unknown Producer,Diablo Cody,Adventure,64554752,81392775,9,0.261,0,2.5,0.7,1.2,0.38,0.72,0.58,1.5,0.55,0.75
Film_0086,2005,Bong Joon-ho,Unknown Producer,Edgar Wright,Horror,12773677,28391653,6,1.223,1,3.0,0.75,1.2,0.38,0.78,0.65,1.8,0.65,1.25
Film_0087,2015,Barry Jenkins,Brad Pitt,Taylor Sheridan,Drama,18407707,27363444,4,0.487,0,1.8,0.65,2.0,0.6,0.8,0.72,0.6,0.4,0.85
Film_0088,2011,Edgar Wright,A24,Unknown Writer,Drama,69264578,46105516,6,-0.334,0,1.5,0.65,3.5,0.65,0.5,0.35,0.6,0.4,1.25
Film_0089,2013,Matt Reeves,Unknown Producer,Emerald Fennell,Action,40378411,26630777,4,-0.34,0,2.8,0.75,1.2,0.38,0.78,0.7,1.5,0.55,0.85
Film_0090,2023,Unknown Director,Frank Marshall,Ryan Coogler,Animation,27915398,6812288,3,-0.756,0,0.8,0.35,2.5,0.7,0.8,0.82,1.6,0.6,0.82
Film_0091,2006,Robert Eggers,Amy Pascal,Aaron Sorkin,Drama,3157334,17949257,2,4.685,1,2.0,0.6,2.8,0.72,0.82,0.7,0.6,0.4,0.72
Film_0092,2014,M. Night Shyamalan,Kevin Feige,Emerald Fennell,Drama,21492459,52324475,10,1.435,1,2.8,0.55,4.0,0.92,0.78,0.7,0.6,0.4,0.8
Film_0093,2007,Bong Joon-ho,Peter Chernin,Bong Joon-ho,Action,132551090,82667135,9,-0.376,0,3.0,0.75,2.0,0.62,0.85,0.75,1.5,0.55,0.75
Film_0094,2019,Unknown Director,Unknown Producer,Quentin Tarantino,Drama,56019529,50272659,1,-0.103,0,0.8,0.35,1.2,0.38,0.85,0.8,0.6,0.4,0.7
Film_0095,2018,Sam Raimi,Jon Landau,Jordan Peele,Thriller,56799982,72385988,5,0.274,0,2.5,0.7,5.0,0.9,0.9,0.88,1.0,0.52,1.1
Film_0096,2022,Unknown Director,Unknown Producer,Rian Johnson,Drama,4488600,1673087,4,-0.627,0,0.8,0.35,1.2,0.38,0.78,0.68,0.6,0.4,0.85
Film_0097,2006,Bong Joon-ho,Unknown Producer,Jordan Peele,Thriller,17947425,25949296,9,0.446,0,3.0,0.75,1.2,0.38,0.9,0.88,1.0,0.52,0.75
Film_0098,2022,Quentin Tarantino,Unknown Producer,Edgar Wright,Animation,400000000,604602495,1,0.512,1,2.5,0.8,1.2,0.38,0.78,0.65,1.6,0.6,0.7
Film_0099,2009,Damien Chazelle,Lorenzo di Bonaventura,Ryan Coogler,Comedy,30225264,18808582,7,-0.378,0,2.5,0.7,2.2,0.6,0.8,0.82,0.8,0.5,1.3
Film_0100,2010,Michael Bay,David Heyman,Tony Kushner,Thriller,9392581,18700158,5,0.991,1,2.2,0.65,3.2,0.8,0.78,0.65,1.0,0.52,1.1
Film_0101,2015,Barry Jenkins,Neal H. Moritz,Edgar Wright,Comedy,18240725,39774298,12,1.181,1,1.8,0.65,2.8,0.68,0.78,0.65,0.8,0.5,1.2
Film_0102,2009,Edgar Wright,Kathleen Kennedy,Denis Villeneuve,Romance,1939547,1846962,6,-0.048,0,1.5,0.65,3.0,0.75,0.8,0.72,0.7,0.42,1.25
Film_0103,2006,M. Night Shyamalan,A24,Ryan Coogler,Comedy,22912386,87877848,9,2.835,1,2.8,0.55,3.5,0.65,0.8,0.82,0.8,0.5,0.75
Film_0104,2006,Wes Anderson,Kathleen Kennedy,Jordan Peele,Drama,13763216,9660470,6,-0.298,0,1.5,0.6,3.0,0.75,0.9,0.88,0.6,0.4,1.25
Film_0105,2012,Michael Bay,Unknown Producer,Diablo Cody,Romance,74413572,97834828,3,0.315,0,2.2,0.65,1.2,0.38,0.72,0.58,0.7,0.42,0.82
Film_0106,2017,The Russo Brothers,Peter Chernin,Denis Villeneuve,Adventure,35674601,66374853,9,0.861,1,4.2,0.85,2.0,0.62,0.8,0.72,1.5,0.55,0.75
Film_0107,2013,Michael Bay,Scott Rudin,Unknown Writer,Sci-Fi,41079859,43752994,7,0.065,0,2.2,0.65,1.8,0.65,0.5,0.35,1.3,0.5,1.3
Film_0108,2018,Robert Eggers,Scott Rudin,Tony Kushner,Animation,8851785,11908844,1,0.345,0,2.0,0.6,1.8,0.65,0.78,0.65,1.6,0.6,0.7
Film_0109,2016,Unknown Director,Unknown Producer,Bong Joon-ho,Adventure,256591481,224993900,7,-0.123,0,0.8,0.35,1.2,0.38,0.85,0.75,1.5,0.55,1.3
Film_0110,2006,Damien Chazelle,Peter Chernin,Ryan Coogler,Adventure,121867357,143405235,12,0.177,0,2.5,0.7,2.0,0.62,0.8,0.82,1.5,0.55,1.2
Film_0111,2016,Taika Waititi,Unknown Producer,Unknown Writer,Action,168132892,205408451,5,0.222,0,2.8,0.75,1.2,0.38,0.5,0.35,1.5,0.55,1.1
Film_0112,2007,Wes Anderson,Unknown Producer,Jordan Peele,Action,5973560,4185630,1,-0.299,0,1.5,0.6,1.2,0.38,0.9,0.88,1.5,0.55,0.7
Film_0113,2008,Jon Favreau,Jon Landau,Unknown Writer,Fantasy,194638001,264096525,1,0.357,0,3.0,0.8,5.0,0.9,0.5,0.35,1.4,0.48,0.7
Film_0114,2012,Martin Scorsese,Jerry Bruckheimer,Unknown Writer,Horror,14588876,19785266,4,0.356,0,1.8,0.65,2.5,0.7,0.5,0.35,1.8,0.65,0.85
Film_0115,2013,James Cameron,Unknown Producer,Unknown Writer,Fantasy,116327179,120639330,10,0.037,0,5.5,0.95,1.2,0.38,0.5,0.35,1.4,0.48,0.8
Film_0116,2022,Jordan Peele,Frank Marshall,Diablo Cody,Adventure,63461738,104731811,3,0.65,1,5.0,0.9,2.5,0.7,0.72,0.58,1.5,0.55,0.82
Film_0117,2006,Denis Villeneuve,Charles Roven,Unknown Writer,Horror,807119,514968,5,-0.362,0,2.1,0.75,2.5,0.65,0.5,0.35,1.8,0.65,1.1
Film_0118,2009,Robert Eggers,Jerry Bruckheimer,Taylor Sheridan,Romance,5370687,9887684,9,0.841,1,2.0,0.6,2.5,0.7,0.8,0.72,0.7,0.42,0.75
Film_0119,2009,James Wan,Emma Thomas,Unknown Writer,Comedy,55002413,46741274,6,-0.15,0,4.5,0.85,3.5,0.88,0.5,0.35,0.8,0.5,1.25
Film_0120,2012,Unknown Director,Amy Pascal,Rian Johnson,Adventure,117345608,320149116,3,1.728,1,0.8,0.35,2.8,0.72,0.78,0.68,1.5,0.55,0.82
Film_0121,2017,James Wan,Jon Landau,Aaron Sorkin,Fantasy,214855171,838723749,11,2.904,1,4.5,0.85,5.0,0.9,0.82,0.7,1.4,0.48,1.15
Film_0122,2014,James Wan,Emma Thomas,Rian Johnson,Animation,24941474,62814324,10,1.518,1,4.5,0.85,3.5,0.88,0.78,0.68,1.6,0.6,0.8
Film_0123,2017,Jon Favreau,Lorenzo di Bonaventura,Damien Chazelle,Animation,60107215,77538048,2,0.29,0,3.0,0.8,2.2,0.6,0.82,0.72,1.6,0.6,0.72
Film_0124,2014,Steven Spielberg,Neal H. Moritz,Charlie Kaufman,Drama,82682433,93822807,7,0.135,0,3.2,0.85,2.8,0.68,0.75,0.5,0.6,0.4,1.3
Film_0125,2008,David Fincher,Jason Blum,Unknown Writer,Horror,43331278,42055942,2,-0.029,0,2.0,0.7,8.0,0.85,0.5,0.35,1.8,0.65,0.72
Film_0126,2022,Unknown Director,Kevin Feige,Unknown Writer,Romance,24747425,17126522,11,-0.308,0,0.8,0.35,4.0,0.92,0.5,0.35,0.7,0.42,1.15
Film_0127,2006,Unknown Director,Unknown Producer,Denis Villeneuve,Drama,3503371,589789,11,-0.832,0,0.8,0.35,1.2,0.38,0.8,0.72,0.6,0.4,1.15
Film_0128,2015,Bong Joon-ho,A24,Christopher Nolan,Horror,9148787,6867288,6,-0.249,0,3.0,0.75,3.5,0.65,0.88,0.85,1.8,0.65,1.25
Film_0129,2005,The Russo Brothers,David Heyman,Jordan Peele,Drama,80441066,72957625,11,-0.093,0,4.2,0.85,3.2,0.8,0.9,0.88,0.6,0.4,1.15
Film_0130,2020,Denis Villeneuve,Unknown Producer,Damien Chazelle,Comedy,5555341,5510214,12,-0.008,0,2.1,0.75,1.2,0.38,0.82,0.72,0.8,0.5,1.2
Film_0131,2007,Robert Eggers,Charles Roven,Taika Waititi,Horror,5476952,14172863,7,1.588,1,2.0,0.6,2.5,0.65,0.75,0.7,1.8,0.65,1.3
Film_0132,2016,Matt Reeves,Lorenzo di Bonaventura,Edgar Wright,Animation,74100263,34608742,1,-0.533,0,2.8,0.75,2.2,0.6,0.78,0.65,1.6,0.6,0.7
Film_0133,2015,Emerald Fennell,Unknown Producer,Christopher Nolan,Romance,167936490,130567158,8,-0.223,0,2.5,0.7,1.2,0.38,0.88,0.85,0.7,0.42,1.05
Film_0134,2012,David Fincher,A24,Aaron Sorkin,Thriller,86110575,170659370,9,0.982,1,2.0,0.7,3.5,0.65,0.82,0.7,1.0,0.52,0.75
Film_0135,2024,Unknown Director,Unknown Producer,Denis Villeneuve,Thriller,115343150,51852042,6,-0.55,0,0.8,0.35,1.2,0.38,0.8,0.72,1.0,0.52,1.25
Film_0136,2011,Christopher Nolan,Kevin Feige,Aaron Sorkin,Horror,15104746,13388632,10,-0.114,0,3.8,0.9,4.0,0.92,0.82,0.7,1.8,0.65,0.8
Film_0137,2015,Jon Favreau,Jordan Peele,Unknown Writer,Action,400000000,1803995857,8,3.51,1,3.0,0.8,5.5,0.85,0.5,0.35,1.5,0.55,1.05
Film_0138,2024,Ari Aster,Amy Pascal,Denis Villeneuve,Animation,400000000,1562450373,11,2.906,1,6.0,0.7,2.8,0.72,0.8,0.72,1.6,0.6,1.15
Film_0139,2016,Denis Villeneuve,Unknown Producer,Unknown Writer,Comedy,10934930,6770579,6,-0.381,0,2.1,0.75,1.2,0.38,0.5,0.35,0.8,0.5,1.25
Film_0140,2023,Matt Reeves,Lorenzo di Bonaventura,Bong Joon-ho,Animation,9908032,25306117,5,1.554,1,2.8,0.75,2.2,0.6,0.85,0.75,1.6,0.6,1.1
Film_0141,2016,Edgar Wright,Jordan Peele,Denis Villeneuve,Action,216689408,264289112,7,0.22,0,1.5,0.65,5.5,0.85,0.8,0.72,1.5,0.55,1.3
Film_0142,2025,Emerald Fennell,Peter Chernin,Taylor Sheridan,Horror,78489704,35650979,10,-0.546,0,2.5,0.7,2.0,0.62,0.8,0.72,1.8,0.65,0.8
Film_0143,2012,Greta Gerwig,Jordan Peele,Damien Chazelle,Drama,11066195,27686479,2,1.502,1,3.5,0.8,5.5,0.85,0.82,0.72,0.6,0.4,0.72
Film_0144,2009,Greta Gerwig,Jordan Peele,Edgar Wright,Comedy,23173258,82455818,7,2.558,1,3.5,0.8,5.5,0.85,0.78,0.65,0.8,0.5,1.3
Film_0145,2021,Emerald Fennell,Lorenzo di Bonaventura,Christopher Nolan,Animation,74884510,85462406,6,0.141,0,2.5,0.7,2.2,0.6,0.88,0.85,1.6,0.6,1.25
Film_0146,2017,Jordan Peele,Unknown Producer,Damien Chazelle,Romance,6346191,5771288,4,-0.091,0,5.0,0.9,1.2,0.38,0.82,0.72,0.7,0.42,0.85
Film_0147,2009,Damien Chazelle,Jordan Peele,Damien Chazelle,Fantasy,130146873,90016650,1,-0.308,0,2.5,0.7,5.5,0.85,0.82,0.72,1.4,0.48,0.7
Film_0148,2021,Damien Chazelle,A24,Jordan Peele,Sci-Fi,29535661,115147647,1,2.899,1,2.5,0.7,3.5,0.65,0.9,0.88,1.3,0.5,0.7
Film_0149,2005,James Wan,Peter Chernin,Taylor Sheridan,Sci-Fi,44245538,35507238,4,-0.197,0,4.5,0.85,2.0,0.62,0.8,0.72,1.3,0.5,0.85
Film_0150,2025,Jordan Peele,Unknown Producer,Damien Chazelle,Adventure,400000000,528309130,4,0.321,0,5.0,0.9,1.2,0.38,0.82,0.72,1.5,0.55,0.85
Film_0151,2016,Unknown Director,Scott Rudin,Denis Villeneuve,Comedy,6652464,5180510,7,-0.221,0,0.8,0.35,1.8,0.65,0.8,0.72,0.8,0.5,1.3
